id_post,user_id,post_unique_code,post_url,video,audio_inclusion,tagged_users,view_count,comment_count,like_count,hashtag,upload_ts,audit_ts
1,54987540073,ClykMFZDIod,https://www.instagram.com/p/ClykMFZDIod/,True,True,,438978,37,33968,"['girlpower', 'girlproblems', 'motivationalshayari', 'girlwithdreads', 'womensupportingwomen❤️', 'womensafety', 'motivationalquotes', 'womensupportingwomen', 'womenmotivation', 'motivationalwomen', 'motivationforwomen', 'womensfitnessmotivation', 'womenfitnessmotivation', 'womensmotivation', 'motivationalquotesforsuccess', 'womans_life_22', 'strongwoman_22']",1670251707,2022-12-06 16:28:34.774839
2,54987540073,Clxr1yYjKUx,https://www.instagram.com/p/Clxr1yYjKUx/,True,True,,21070,5,3472,"['girlpower', 'girlproblems', 'motivationalshayari', 'girlwithdreads', 'womensupportingwomen❤️', 'womensafety', 'motivationalquotes', 'womensupportingwomen', 'womenmotivation', 'motivationalwomen', 'motivationforwomen', 'womensfitnessmotivation', 'womenfitnessmotivation', 'womensmotivation', 'motivationalquotesforsuccess', 'womans_life_22', 'strongwoman_22']",1670222095,2022-12-06 16:28:34.775936
3,54987540073,ClwB6qzjCgY,https://www.instagram.com/p/ClwB6qzjCgY/,True,True,,26339,10,5686,"['girlpower', 'girlproblems', 'motivationalshayari', 'girlwithdreads', 'womensupportingwomen❤️', 'womensafety', 'motivationalquotes', 'womensupportingwomen', 'womenmotivation', 'motivationalwomen', 'motivationforwomen', 'womensfitnessmotivation', 'womenfitnessmotivation', 'womensmotivation', 'motivationalquotesforsuccess', 'womans_life_22', 'strongwoman_22']",1670168065,2022-12-06 16:28:34.775936
4,54987540073,ClvCMIWDyfZ,https://www.instagram.com/p/ClvCMIWDyfZ/,True,True,,44992,32,7171,"['girlpower', 'girlproblems', 'motivationalshayari', 'girlwithdreads', 'womensupportingwomen❤️', 'womensafety', 'motivationalquotes', 'womensupportingwomen', 'womenmotivation', 'motivationalwomen', 'motivationforwomen', 'womensfitnessmotivation', 'womenfitnessmotivation', 'womensmotivation', 'motivationalquotesforsuccess', 'womans_life_22', 'strongwoman_22']",1670133790,2022-12-06 16:28:34.775936
5,54987540073,ClttBX9PwtT,https://www.instagram.com/p/ClttBX9PwtT/,True,True,['womans_life_22'],7394,0,644,"['businesskiknowledge', 'businessminds', 'businessknowledge', 'businessmindset', 'entrepreneurindia', 'businessmanmindset', 'businessmindset', 'businessmanquotes', 'businessmanlifė', 'leadermindset', 'businesskiknowledge', 'businessman', 'entrepreneur', 'business', 'motivation', 'success', 'mindset', 'goals', 'entrepreneurship', 'lifestyle', 'motivationalquotes', '', 'believe', 'entrepreneurlife', 'smallbusiness', 'marketing', 'instagram']",1670088392,2022-12-06 16:28:34.775936
6,54987540073,CltZXZ0jj5S,https://www.instagram.com/p/CltZXZ0jj5S/,True,True,,9542,0,656,"['girlpower', 'girlproblems', 'motivationalshayari', 'girlwithdreads', 'womensupportingwomen❤️', 'womensafety', 'motivationalquotes', 'womensupportingwomen', 'womenmotivation', 'motivationalwomen', 'motivationforwomen', 'womensfitnessmotivation', 'womenfitnessmotivation', 'womensmotivation', 'motivationalquotesforsuccess', 'womans_life_22', 'strongwoman_22']",1670078209,2022-12-06 16:28:34.775936
7,54987540073,Clpsn6djjH3,https://www.instagram.com/p/Clpsn6djjH3/,True,True,"['deepti_awasthi_sharma', 'gohoardings']",3108,0,136,"['girlpower', 'girlproblems', 'motivationalshayari', 'girlwithdreads', 'womensupportingwomen❤️', 'womensafety', 'motivationalquotes', 'womensupportingwomen', 'womenmotivation', 'motivationalwomen', 'motivationforwomen', 'womensfitnessmotivation', 'womenfitnessmotivation', 'womensmotivation', 'motivationalquotesforsuccess', 'womans_life_22', 'strongwoman_22']",1669954015,2022-12-06 16:28:34.775936
8,54987540073,CloGmMajAI6,https://www.instagram.com/p/CloGmMajAI6/,True,True,['zindagi_ek_paheli._'],6809,2,603,"['girlpower', 'girlproblems', 'motivationalshayari', 'girlwithdreads', 'womensupportingwomen❤️', 'womensafety', 'motivationalquotes', 'womensupportingwomen', 'womenmotivation', 'motivationalwomen', 'motivationforwomen', 'womensfitnessmotivation', 'womenfitnessmotivation', 'womensmotivation', 'motivationalquotesforsuccess', 'womans_life_22', 'strongwoman_22']",1669900916,2022-12-06 16:28:34.776835
9,54987540073,ClnIeYrjmNM,https://www.instagram.com/p/ClnIeYrjmNM/,True,True,['anshi_.01'],7171,1,262,"['girlpower', 'girlproblems', 'motivationalshayari', 'girlwithdreads', 'womensupportingwomen❤️', 'womensafety', 'motivationalquotes', 'womensupportingwomen', 'womenmotivation', 'motivationalwomen', 'motivationforwomen', 'womensfitnessmotivation', 'womenfitnessmotivation', 'womensmotivation', 'motivationalquotesforsuccess', 'womans_life_22', 'strongwoman_22']",1669868274,2022-12-06 16:28:34.776835
10,54987540073,CllkQ8Wj5W4,https://www.instagram.com/p/CllkQ8Wj5W4/,True,True,['zindagi_ek_paheli._'],9613,2,937,"['girlpower', 'girlproblems', 'motivationalshayari', 'girlwithdreads', 'womensupportingwomen❤️', 'womensafety', 'motivationalquotes', 'womensupportingwomen', 'womenmotivation', 'motivationalwomen', 'motivationforwomen', 'womensfitnessmotivation', 'womenfitnessmotivation', 'womensmotivation', 'motivationalquotesforsuccess', 'womans_life_22', 'strongwoman_22']",1669815475,2022-12-06 16:28:34.776835
11,54987540073,Cli-34ljqDN,https://www.instagram.com/p/Cli-34ljqDN/,True,True,,68084,2,5539,"['girlpower', 'girlproblems', 'motivationalshayari', 'girlwithdreads', 'womensupportingwomen❤️', 'womensafety', 'motivationalquotes', 'womensupportingwomen', 'womenmotivation', 'motivationalwomen', 'motivationforwomen', 'womensfitnessmotivation', 'womenfitnessmotivation', 'womensmotivation', 'motivationalquotesforsuccess', 'womans_life_22', 'strongwoman_22']",1669728823,2022-12-06 16:28:34.776835
12,54987540073,CliKJvDjtNt,https://www.instagram.com/p/CliKJvDjtNt/,True,True,,24279,8,1808,"['girlpower', 'girlproblems', 'motivationalshayari', 'girlwithdreads', 'womensupportingwomen❤️', 'womensafety', 'motivationalquotes', 'womensupportingwomen', 'womenmotivation', 'motivationalwomen', 'motivationforwomen', 'womensfitnessmotivation', 'womenfitnessmotivation', 'womensmotivation', 'motivationalquotesforsuccess', 'womans_life_22', 'strongwoman_22']",1669701146,2022-12-06 16:28:34.776835
